id,coverage,k-length,metric,score
144,10,10.0,BC,0.2543815336453604
144,10,10.0,BF,0.13190022885634858
144,10,10.0,CS,0.1368715161624807
144,30,10.0,BC,0.19626346209888904
144,30,10.0,BF,0.09497152858555793
144,30,10.0,CS,0.09878263209534527
144,10,20.0,BC,0.38640840116571196
144,10,20.0,BF,0.27823806104232573
144,10,20.0,CS,0.29475820053801144
144,30,20.0,BC,0.32434218469109743
144,30,20.0,BF,0.22372772311089328
144,30,20.0,CS,0.23806318530165496
144,10,30.0,BC,0.4559358891752577
144,10,30.0,BF,0.3436395558844012
144,10,30.0,CS,0.364725327767467
144,30,30.0,BC,0.39674529685363763
144,30,30.0,BF,0.2871263288554644
144,30,30.0,CS,0.30635382519634907
144,10,40.0,BC,0.5111319354323735
144,10,40.0,BF,0.3962786195157367
144,10,40.0,CS,0.42073136039222464
144,30,40.0,BC,0.4533556982895949
144,30,40.0,BF,0.33641782112213536
144,30,40.0,CS,0.3595065233861442
