id,coverage,k-length,metric,score
276,10,10.0,BC,0.43044599772222525
276,10,10.0,BF,0.30590652312275607
276,10,10.0,CS,0.34427581581134786
276,30,10.0,BC,0.3990939898989526
276,30,10.0,BF,0.26721242264615996
276,30,10.0,CS,0.30343340107328487
276,10,20.0,BC,0.6813582442317649
276,10,20.0,BF,0.5835870852873
276,10,20.0,CS,0.681027987242167
276,30,20.0,BC,0.6630838396024001
276,30,20.0,BF,0.5328688415484024
276,30,20.0,CS,0.6350270082003335
276,10,30.0,BC,0.7738656091581219
276,10,30.0,BF,0.6846749010494436
276,10,30.0,CS,0.7919608116700367
276,30,30.0,BC,0.7667349555086606
276,30,30.0,BF,0.6273742726539132
276,30,30.0,CS,0.7468708070100516
276,10,40.0,BC,0.8228580529492941
276,10,40.0,BF,0.7515914084249241
276,10,40.0,CS,0.8580014233843986
276,30,40.0,BC,0.8254489087638335
276,30,40.0,BF,0.6813469595102236
276,30,40.0,CS,0.8101584981788871
276,10,10.0,BF_Small,0.013241380574166203
276,30,10.0,BF_Small,0.010808746967506323
276,10,20.0,BF_Small,0.019754684677928378
276,30,20.0,BF_Small,0.01616092876922718
276,10,30.0,BF_Small,0.02475732175863191
276,30,30.0,BF_Small,0.019221725047153686
276,10,40.0,BF_Small,0.029169362749465005
276,30,40.0,BF_Small,0.020886227920653547
