id,coverage,k-length,metric,score
134,10,10.0,BC,0.22066598721395744
134,10,10.0,BF,0.12047075299331778
134,10,10.0,CS,0.13464476212953713
134,30,10.0,BC,0.17018123767196497
134,30,10.0,BF,0.07576796670382016
134,30,10.0,CS,0.08548724168094829
134,10,20.0,BC,0.3174680073608673
134,10,20.0,BF,0.26747977142657836
134,10,20.0,CS,0.3119791600567289
134,30,20.0,BC,0.27597718114273145
134,30,20.0,BF,0.18041804672599174
134,30,20.0,CS,0.21480330935957567
134,10,30.0,BC,0.36892818137480343
134,10,30.0,BF,0.3574374934958522
134,10,30.0,CS,0.4131642496215396
134,30,30.0,BC,0.34723698888457566
134,30,30.0,BF,0.24420213022977855
134,30,30.0,CS,0.29036058405804266
134,10,40.0,BC,0.40272832100535877
134,10,40.0,BF,0.45009768764026026
134,10,40.0,CS,0.5141580712570218
134,30,40.0,BC,0.4096314636808118
134,30,40.0,BF,0.29969626887769313
134,30,40.0,CS,0.356432264408514
134,10,10.0,BF_Small,0.005553218028548398
134,30,10.0,BF_Small,0.00323838349886427
134,10,20.0,BF_Small,0.009112817748182627
134,30,20.0,BF_Small,0.005528350346067823
134,10,30.0,BF_Small,0.01282998249294178
134,30,30.0,BF_Small,0.007460601978901211
134,10,40.0,BF_Small,0.017634517148525746
134,30,40.0,BF_Small,0.009199809983920407
