id,coverage,k-length,metric,score
79,10,10.0,BC,0.27594695896586996
79,10,10.0,BF,0.14897444928700335
79,10,10.0,CS,0.15472256621385433
79,30,10.0,BC,0.2229110148670503
79,30,10.0,BF,0.1146832949275375
79,30,10.0,CS,0.11937808774929191
79,10,20.0,BC,0.4347157320872274
79,10,20.0,BF,0.3299801944878152
79,10,20.0,CS,0.34962393703773137
79,30,20.0,BC,0.3785854419293427
79,30,20.0,BF,0.2803206757682018
79,30,20.0,CS,0.2982294216760143
79,10,30.0,BC,0.5240570613014078
79,10,30.0,BF,0.4183732836724946
79,10,30.0,CS,0.44389349171067305
79,30,30.0,BC,0.47308633250809845
79,30,30.0,BF,0.36872124912792464
79,30,30.0,CS,0.39321066886547384
79,10,40.0,BC,0.5950049630762576
79,10,40.0,BF,0.48983781215497846
79,10,40.0,CS,0.5202553504791595
79,30,40.0,BC,0.5477739111701616
79,30,40.0,BF,0.4394768222952086
79,30,40.0,CS,0.46946329061514547
