id,coverage,k-length,metric,score
1696,10,10.0,BC,0.25964726989735964
1696,10,10.0,BF,0.15925630473496138
1696,10,10.0,CS,0.1789552918780835
1696,30,10.0,BC,0.2108449768297457
1696,30,10.0,BF,0.10921318279855984
1696,30,10.0,CS,0.12397321810881981
1696,10,20.0,BC,0.3879707853678015
1696,10,20.0,BF,0.3331039145579243
1696,10,20.0,CS,0.3885888477361975
1696,30,20.0,BC,0.349397614484382
1696,30,20.0,BF,0.24738267235024697
1696,30,20.0,CS,0.2948487612522161
1696,10,30.0,BC,0.46002103129438654
1696,10,30.0,BF,0.43546612624570336
1696,10,30.0,CS,0.5035539617018413
1696,30,30.0,BC,0.4404329847914004
1696,30,30.0,BF,0.3292579046139422
1696,30,30.0,CS,0.39232150095318696
1696,10,40.0,BC,0.5107264388314808
1696,10,40.0,BF,0.5311926938241135
1696,10,40.0,CS,0.6062904101396787
1696,30,40.0,BC,0.5155775630952525
1696,30,40.0,BF,0.39755049721607205
1696,30,40.0,CS,0.47253963160490225
