id,coverage,k-length,metric,score
171,10,10.0,BC,0.42177225743080526
171,10,10.0,BF,0.29591759681773927
171,10,10.0,CS,0.3081057452375875
171,30,10.0,BC,0.3792173346197817
171,30,10.0,BF,0.2637674157509576
171,30,10.0,CS,0.27533723841196583
171,10,20.0,BC,0.6582191540632433
171,10,20.0,BF,0.5728827121629821
171,10,20.0,CS,0.6070914591859102
171,30,20.0,BC,0.6228452141186257
171,30,20.0,BF,0.5406688686796242
171,30,20.0,CS,0.5756532707645915
171,10,30.0,BC,0.746109367494365
171,10,30.0,BF,0.6631138034455636
171,10,30.0,CS,0.7034814725774862
171,30,30.0,BC,0.7179308754110778
171,30,30.0,BF,0.6340608204118267
171,30,30.0,CS,0.6763594858129093
171,10,40.0,BC,0.7992374178614098
171,10,40.0,BF,0.7174522734658928
171,10,40.0,CS,0.7621124506145336
171,30,40.0,BC,0.7752525847477992
171,30,40.0,BF,0.6895763496566145
171,30,40.0,CS,0.737133520679528
