id,coverage,k-length,metric,score
152,10,10.0,BC,0.17556963518998817
152,10,10.0,BF,0.06330599832517779
152,10,10.0,CS,0.0656190511434935
152,30,10.0,BC,0.10927304007549207
152,30,10.0,BF,0.0247917708225763
152,30,10.0,CS,0.025764974916784682
152,10,20.0,BC,0.23269907965698586
152,10,20.0,BF,0.11132866672851444
152,10,20.0,CS,0.11781598328731759
152,30,20.0,BC,0.15608007012137248
152,30,20.0,BF,0.04622095727352893
152,30,20.0,CS,0.04909745019350391
152,10,30.0,BC,0.2610087457968444
152,10,30.0,BF,0.12872886183103938
152,10,30.0,CS,0.1363229556422394
152,30,30.0,BC,0.18154325863109536
152,30,30.0,BF,0.05563875264435614
152,30,30.0,CS,0.05924696638298714
152,10,40.0,BC,0.289275088318296
152,10,40.0,BF,0.1480352492731339
152,10,40.0,CS,0.15721764076077166
152,30,40.0,BC,0.20655202239456735
152,30,40.0,BF,0.0659456804729138
152,30,40.0,CS,0.07044036705780903
