id,coverage,k-length,metric,score
120,10,10.0,BC,0.28825905577906275
120,10,10.0,BF,0.16249243422001766
120,10,10.0,CS,0.16882687748210673
120,30,10.0,BC,0.23159020417973145
120,30,10.0,BF,0.12571586965039486
120,30,10.0,CS,0.13098713415255103
120,10,20.0,BC,0.44344899381971664
120,10,20.0,BF,0.3397646945270804
120,10,20.0,CS,0.35983489961533466
120,30,20.0,BC,0.38487337955984335
120,30,20.0,BF,0.2890461218835106
120,30,20.0,CS,0.30755457459431657
120,10,30.0,BC,0.521680171036101
120,10,30.0,BF,0.4157863384782587
120,10,30.0,CS,0.4410963327463706
120,30,30.0,BC,0.4676663691355972
120,30,30.0,BF,0.36508715295387995
120,30,30.0,CS,0.38939828639987284
120,10,40.0,BC,0.5823351499093644
120,10,40.0,BF,0.4755558160912406
120,10,40.0,CS,0.5048158818026528
120,30,40.0,BC,0.5314841207308532
120,30,40.0,BF,0.42369802541928114
120,30,40.0,CS,0.45263358095630285
