id,coverage,k-length,metric,score
226,10,10.0,BC,0.5360486886212322
226,10,10.0,BF,0.40909609740656416
226,10,10.0,CS,0.4609439077761857
226,30,10.0,BC,0.5115070538200779
226,30,10.0,BF,0.3767192173161543
226,30,10.0,CS,0.42832544550273355
226,10,20.0,BC,0.7877878244140918
226,10,20.0,BF,0.6740334817419708
226,10,20.0,CS,0.7869023537987345
226,30,20.0,BC,0.7749829047039544
226,30,20.0,BF,0.63468732468781
226,30,20.0,CS,0.7561027217125764
226,10,30.0,BC,0.8345675074641625
226,10,30.0,BF,0.7316773967962572
226,10,30.0,CS,0.8467142612376723
226,30,30.0,BC,0.8287453108942416
226,30,30.0,BF,0.6838576997511224
226,30,30.0,CS,0.8138659913727415
226,10,40.0,BC,0.8559150102163386
226,10,40.0,BF,0.7732182661671514
226,10,40.0,CS,0.8833240769883327
226,30,40.0,BC,0.857645006053689
226,30,40.0,BF,0.7106517311986693
226,30,40.0,CS,0.8447781132960871
226,10,10.0,BF_Small,0.01748190285746557
226,30,10.0,BF_Small,0.015105317311704168
226,10,20.0,BF_Small,0.022764990982937647
226,30,20.0,BF_Small,0.019236133201777975
226,10,30.0,BF_Small,0.026525453560515683
226,30,30.0,BF_Small,0.021250827330553907
226,10,40.0,BF_Small,0.030034913316907958
226,30,40.0,BF_Small,0.021829273823592066
