id,coverage,k-length,metric,score
83,10,10.0,BC,0.20535634688706764
83,10,10.0,BF,0.08730688101504194
83,10,10.0,CS,0.09054379479602674
83,30,10.0,BC,0.14125982861047096
83,30,10.0,BF,0.04903233131160944
83,30,10.0,CS,0.05099480821749513
83,10,20.0,BC,0.2954175983150772
83,10,20.0,BF,0.1788259147746643
83,10,20.0,CS,0.1893566281539487
83,30,20.0,BC,0.22269570548465262
83,30,20.0,BF,0.11640235180639008
83,30,20.0,CS,0.12377473262121909
83,10,30.0,BC,0.3486361395170528
83,10,30.0,BF,0.2249099028941597
83,10,30.0,CS,0.2382439175348666
83,30,30.0,BC,0.2762614663008536
83,30,30.0,BF,0.15770195554685662
83,30,30.0,CS,0.16790110245568132
83,10,40.0,BC,0.39833997651711783
83,10,40.0,BF,0.26943818984368917
83,10,40.0,CS,0.2860756323732988
83,30,40.0,BC,0.3259155405869348
83,30,40.0,BF,0.19701861895673545
83,30,40.0,CS,0.21033458497075788
