id,coverage,k-length,metric,score
1791,10,10.0,BC,0.24716969171762382
1791,10,10.0,BF,0.1417913092447702
1791,10,10.0,CS,0.15782934491901726
1791,30,10.0,BC,0.19978986764663434
1791,30,10.0,BF,0.09689103992379541
1791,30,10.0,CS,0.10885967671252175
1791,10,20.0,BC,0.37184125145370295
1791,10,20.0,BF,0.3151146822174757
1791,10,20.0,CS,0.3662321840056234
1791,30,20.0,BC,0.33385388938911364
1791,30,20.0,BF,0.232064002745485
1791,30,20.0,CS,0.27546099173450833
1791,10,30.0,BC,0.44135489119259363
1791,10,30.0,BF,0.41751344715778227
1791,10,30.0,CS,0.4819321788402458
1791,30,30.0,BC,0.42217777316949034
1791,30,30.0,BF,0.3123095468079914
1791,30,30.0,CS,0.37109001611123615
1791,10,40.0,BC,0.48964456986272836
1791,10,40.0,BF,0.5130617515298794
1791,10,40.0,CS,0.5856035472963841
1791,30,40.0,BC,0.4956067894097178
1791,30,40.0,BF,0.37854903502882353
1791,30,40.0,CS,0.4501064271561868
