h	w	ntotal	nvariant	ninvariant	pi	thetaw	d	sim
110.203863854328	109.479657488613	3148	465	2683	0.0350075806398756	0.0347775277918085	0.00939196942808081	s100x10P0
109.898464456359	109.329350553884	3148	465	2683	0.0349105668539896	0.0347297809891626	0.00742498866357263	s100x30P0
270.260870508084	213.404713494126	3589	906	2683	0.0753025551708231	0.059460772776296	0.381278051082069	s101x10P0
274.088686560513	216.246246671575	3602	919	2683	0.0760934721156339	0.0600350490481886	0.382366541595031	s101x30P0
1.06666666666667	2.11588313968265	2692	9	2683	0.000396235760277365	0.000785989279228327	-0.707991954223886	s102x10P0
1.06666666666667	2.11588313968265	2692	9	2683	0.000396235760277365	0.000785989279228327	-0.707991954223886	s102x30P0
15.6294871794872	22.8132399535265	2780	97	2683	0.00562211769046301	0.00820620142213183	-0.449877852791944	s103x10P0
15.6164131743079	22.8074255066731	2780	97	2683	0.00561741481090213	0.00820410989448673	-0.450181196905352	s103x30P0
45.4960644465288	71.0469006608694	2985	302	2683	0.0152415626286529	0.0238013067540601	-0.513876542665745	s104x10P0
46.0849837691943	71.0025414661114	2985	302	2683	0.0154388555340684	0.0237864460522986	-0.501071498116483	s104x30P0
44.2223583907794	84.9535659659216	3044	361	2683	0.0145277130061693	0.027908530212195	-0.685453737261177	s105x10P0
44.4307692307692	86.2957869001809	3050	367	2683	0.0145674653215637	0.0282937006230101	-0.692824440206857	s105x30P0
130.342494708594	165.463950828703	3385	702	2683	0.0385059068563054	0.048881521662837	-0.304158399731481	s106x10P0
131.614817291597	168.304280863368	3398	715	2683	0.0387330245119475	0.0495303946036987	-0.311822712104331	s106x30P0
1.81923076923077	2.58607939294547	2694	11	2683	0.000675289817828793	0.00095994038342445	-0.423372542268547	s107x10P0
1.76923076923077	2.58607939294547	2694	11	2683	0.000656730055393753	0.00095994038342445	-0.450977243455705	s107x30P0
34.8621676332203	28.2418365827146	2803	120	2683	0.0124374483172388	0.0100755749492382	0.3348557276639	s108x10P0
34.9794871794872	28.4468733224001	2804	121	2683	0.0124748527744248	0.0101451046085593	0.327874279083588	s108x30P0
66.2186107159791	72.2160643131368	2990	307	2683	0.0221466925471502	0.0241525298706143	-0.11868767723579	s109x10P0
66.7672771672772	72.4162757586478	2991	308	2683	0.0223227272374715	0.0242113927645095	-0.111388984799512	s109x30P0
193.257449236397	127.094954114048	3223	540	2683	0.0599619761825618	0.0394337431318795	0.744173777147775	s110x10P0
194.329921824659	127.673057187308	3226	543	2683	0.0602386614459574	0.0395762731516765	0.745533955521553	s110x30P0
115.759302376795	166.600562254631	3390	707	2683	0.0341472868368126	0.0491447086296846	-0.437126289255551	s111x10P0
116.62768634781	169.925588744299	3405	722	2683	0.0342518902636741	0.0499047250350363	-0.448558343272927	s111x30P0
1.14871794871795	1.88078501305125	2691	8	2683	0.000426874005469323	0.000698916764418896	-0.555733545396714	s112x10P0
1.14871794871795	1.88078501305125	2691	8	2683	0.000426874005469323	0.000698916764418896	-0.555733545396714	s112x30P0
8.09863953021848	16.9503229048749	2755	72	2683	0.00293961507448947	0.00615256729759523	-0.746992497652344	s113x10P0
8.12820512820513	16.9270651174612	2755	72	2683	0.00295034668900368	0.00614412526949591	-0.742163585750438	s113x30P0
44.7255693808325	72.4867640488526	2991	308	2683	0.0149533832767745	0.0242349595616358	-0.547540158315668	s114x10P0
44.7435897435897	72.4102230024731	2991	308	2683	0.0149594081389468	0.0242093691081488	-0.545520817118681	s114x30P0
82.6608677792888	105.504709521184	3131	448	2683	0.0264007881760744	0.0336968091731665	-0.30993142839364	s115x10P0
83.2383394383394	106.282273196598	3135	452	2683	0.0265513044460413	0.0339018415300155	-0.309637606970442	s115x30P0
205.763935065019	237.359891105614	3691	1008	2683	0.0557474763113028	0.0643077461678716	-0.190418028563181	s116x10P0
209.34393415508	241.660578753823	3710	1027	2683	0.0564269364299406	0.0651376223056128	-0.191145061946332	s116x30P0
0.358974358974359	1.17549063315703	2688	5	2683	0.000133547008547009	0.000437310503406633	-0.991746261583615	s117x10P0
0.358974358974359	1.17549063315703	2688	5	2683	0.000133547008547009	0.000437310503406633	-0.991746261583615	s117x30P0
6.41923076923077	16.7220283777757	2754	71	2683	0.00233087537009106	0.00607190572903983	-0.881807325131186	s118x10P0
6.36923076923077	16.9270651174612	2755	72	2683	0.00231188049699846	0.00614412526949591	-0.89052902389737	s118x30P0
87.9791443023641	69.6753332676283	2979	296	2683	0.0295331132267083	0.0233888329196469	0.37567733921591	s119x10P0
87.9538461538461	69.5985179965338	2979	296	2683	0.0295246210654066	0.0233630473301557	0.376552902447742	s119x30P0
83.3050025737332	132.755539252513	3247	564	2683	0.0256559909373986	0.0408855987842663	-0.532639211647025	s120x10P0
84.2528557283975	133.334357253737	3250	567	2683	0.0259239556087377	0.041025956078073	-0.525688069314227	s120x30P0
152.666600692607	172.546265405844	3415	732	2683	0.0447047146976887	0.0505259927981972	-0.165382259390772	s121x10P0
154.19659856502	174.174656204906	3423	740	2683	0.0450472096304469	0.0508836272874397	-0.164229994685821	s121x30P0
2.15897435897436	2.35388848974076	2693	10	2683	0.000801698610833405	0.000874076676472619	-0.118737852755446	s122x10P0
2.15897435897436	2.35098126631406	2693	10	2683	0.000801698610833405	0.000872997128226536	-0.116606452665621	s122x30P0
21.1908268202386	27.9977784764818	2802	119	2683	0.00756275047117722	0.00999206940631041	-0.347521837768481	s123x10P0
21.3948717948718	28.2117751957687	2803	120	2683	0.00763284759003632	0.0100648502303848	-0.344994065906378	s123x30P0
