id,coverage,k-length,metric,score
232,10,10.0,BC,0.1759313395755707
232,10,10.0,BF,0.06308482027416319
232,10,10.0,CS,0.0653812062780986
232,30,10.0,BC,0.10853892233386227
232,30,10.0,BF,0.02450336082641796
232,30,10.0,CS,0.0254594694573818
232,10,20.0,BC,0.23310931899641582
232,10,20.0,BF,0.11190610355657768
232,10,20.0,CS,0.1184789050018385
232,30,20.0,BC,0.15487414372089908
232,30,20.0,BF,0.04561815679578753
232,30,20.0,CS,0.04849543069993383
232,10,30.0,BC,0.26146953405017925
232,10,30.0,BF,0.1294156925185632
232,10,30.0,CS,0.13712461971284895
232,30,30.0,BC,0.18024559207528107
232,30,30.0,BF,0.0550572534847856
232,30,30.0,CS,0.058603067152247106
232,10,40.0,BC,0.2896819833250936
232,10,40.0,BF,0.14869877853627556
232,10,40.0,CS,0.1579518130654557
232,30,40.0,BC,0.20524130249316797
232,30,40.0,BF,0.06529354550765666
232,30,40.0,CS,0.06977174085418006
