id,coverage,k-length,metric,score
21,10,10.0,BC,0.4577220420942033
21,10,10.0,BF,0.3273746387523828
21,10,10.0,CS,0.3403784008162503
21,30,10.0,BC,0.10712216805959396
21,30,10.0,BF,0.023502938894785188
21,30,10.0,CS,0.024429955720446657
21,10,20.0,BC,0.7162323771898973
21,10,20.0,BF,0.6359547324085382
21,10,20.0,CS,0.6739240853819002
21,30,20.0,BC,0.15263789966670016
21,30,20.0,BF,0.04298324125531436
21,30,20.0,CS,0.04566073214971536
21,10,30.0,BC,0.8019938719377009
21,10,30.0,BF,0.7251850630980543
21,10,30.0,CS,0.7690604719797032
21,30,30.0,BC,0.1771192641552427
21,30,30.0,BF,0.05111019323944472
21,30,30.0,CS,0.05442598859795445
21,10,40.0,BC,0.8498223334569276
21,10,40.0,BF,0.7742494091476353
21,10,40.0,CS,0.8223567591539455
21,30,40.0,BC,0.20116884415468486
21,30,40.0,BF,0.06011002982945881
21,30,40.0,CS,0.06421287803894143
