id,coverage,k-length,metric,score
1684,10,10.0,BC,0.2931520709297064
1684,10,10.0,BF,0.18610104059153254
1684,10,10.0,CS,0.2096243714798476
1684,30,10.0,BC,0.2498700606924036
1684,30,10.0,BF,0.1395643197230766
1684,30,10.0,CS,0.15854701678190555
1684,10,20.0,BC,0.45076962085971733
1684,10,20.0,BF,0.38411046640374774
1684,10,20.0,CS,0.4481828455877291
1684,30,20.0,BC,0.41782039104619806
1684,30,20.0,BF,0.3096604292307825
1684,30,20.0,CS,0.36884261496671544
1684,10,30.0,BC,0.5360688725339928
1684,10,30.0,BF,0.49210370420277816
1684,10,30.0,CS,0.5696033770579795
1684,30,30.0,BC,0.5204073866317599
1684,30,30.0,BF,0.40229520064586793
1684,30,30.0,CS,0.47913198606856167
1684,10,40.0,BC,0.5940709435757047
1684,10,40.0,BF,0.5863382460060673
1684,10,40.0,CS,0.6699103507667619
1684,30,40.0,BC,0.599577831747831
1684,30,40.0,BF,0.4739339489902341
1684,30,40.0,CS,0.5640151767409209
