id,coverage,k-length,metric,score
111,10,10.0,BC,0.30443932554295
111,10,10.0,BF,0.19646932681501125
111,10,10.0,CS,0.22124309656405794
111,30,10.0,BC,0.26089478578594644
111,30,10.0,BF,0.1500500711339505
111,30,10.0,CS,0.1706242143234896
111,10,20.0,BC,0.4692827165785197
111,10,20.0,BF,0.40241546996672567
111,10,20.0,CS,0.4691241914050082
111,30,20.0,BC,0.43682152605200986
111,30,20.0,BF,0.3272575547564366
111,30,20.0,CS,0.38980745849734266
111,10,30.0,BC,0.5519949709521923
111,10,30.0,BF,0.5072019511990992
111,10,30.0,CS,0.5865107558176523
111,30,30.0,BC,0.5359601445900537
111,30,30.0,BF,0.4166784899708785
111,30,30.0,CS,0.4960327323706792
111,10,40.0,BC,0.6044420095786697
111,10,40.0,BF,0.5957808619573974
111,10,40.0,CS,0.6802866419961598
111,30,40.0,BC,0.6083661612581784
111,30,40.0,BF,0.482009639563459
111,30,40.0,CS,0.5734696091442905
111,10,10.0,BF_Small,0.008512973067525428
111,30,10.0,BF_Small,0.006064946941246932
111,10,20.0,BF_Small,0.013856722388140006
111,30,20.0,BF_Small,0.009948342981045664
111,10,30.0,BF_Small,0.01830312027753837
111,30,30.0,BF_Small,0.012750455583885118
111,10,40.0,BF_Small,0.023329338071609813
111,30,40.0,BF_Small,0.014887891241674585
