id,coverage,k-length,metric,score
78,10,10.0,BC,0.19235243463477206
78,10,10.0,BF,0.07664629394767425
78,10,10.0,CS,0.07945906719737729
78,30,10.0,BC,0.12416036928342668
78,30,10.0,BF,0.036245992411549646
78,30,10.0,CS,0.03768997735049719
78,10,20.0,BC,0.26548274042809766
78,10,20.0,BF,0.14762573228194936
78,10,20.0,CS,0.15627124352838334
78,30,20.0,BC,0.18807483928192584
78,30,20.0,BF,0.08038224879498218
78,30,20.0,CS,0.08546972153905605
78,10,30.0,BC,0.30615825804604074
78,10,30.0,BF,0.17968853033088597
78,10,30.0,CS,0.19045532718251298
78,30,30.0,BC,0.2278956932281468
78,30,30.0,BF,0.10584631431346464
78,30,30.0,CS,0.11275670511000019
78,10,40.0,BC,0.34516206278581146
78,10,40.0,BF,0.21198010105172732
78,10,40.0,CS,0.22512293609017553
78,30,40.0,BC,0.2654518073064723
78,30,40.0,BF,0.13064234353005694
78,30,40.0,CS,0.13960776028587485
