id,coverage,k-length,metric,score
27,10,10.0,BC,0.17300066059305036
27,10,10.0,BF,0.0612287451260781
27,10,10.0,CS,0.06344557267091284
27,30,10.0,BC,0.10816745617445434
27,30,10.0,BF,0.024262153579796174
27,30,10.0,CS,0.025220944631444125
27,10,20.0,BC,0.2296393212156233
27,10,20.0,BF,0.10853829369549418
27,10,20.0,CS,0.11487528444323086
27,30,20.0,BC,0.15449510762458263
27,30,20.0,BF,0.04529388140645162
27,30,20.0,CS,0.04810381128975748
27,10,30.0,BC,0.25784728573144144
27,10,30.0,BF,0.12553062119050817
27,10,30.0,CS,0.13299596949616704
27,30,30.0,BC,0.1797597657933957
27,30,30.0,BF,0.05458344417480192
27,30,30.0,CS,0.05811281648338232
27,10,40.0,BC,0.28615826355415486
27,10,40.0,BF,0.14456019192987604
27,10,40.0,CS,0.15353699072593968
27,30,40.0,BC,0.20451732205880332
27,30,40.0,BF,0.06470673436895925
27,30,40.0,CS,0.0691185970301918
