id,coverage,k-length,metric,score
1575,10,10.0,BC,0.2683035829566054
1575,10,10.0,BF,0.15836620681856886
1575,10,10.0,CS,0.17659188304713525
1575,30,10.0,BC,0.22220214177300665
1575,30,10.0,BF,0.11370582449666618
1575,30,10.0,CS,0.12786406357224905
1575,10,20.0,BC,0.4083139113227019
1575,10,20.0,BF,0.345930673305514
1575,10,20.0,CS,0.40254904653716433
1575,30,20.0,BC,0.37200480826261717
1575,30,20.0,BF,0.2670384328899225
1575,30,20.0,CS,0.3171452048038777
1575,10,30.0,BC,0.4812521852794456
1575,10,30.0,BF,0.4492617677394394
1575,10,30.0,CS,0.5189098343789323
1575,30,30.0,BC,0.4628804697722268
1575,30,30.0,BF,0.3500194465806046
1575,30,30.0,CS,0.4162263025216231
1575,10,40.0,BC,0.5291940408547975
1575,10,40.0,BF,0.5419645768538828
1575,10,40.0,CS,0.6183339552210831
1575,30,40.0,BC,0.5344030439526705
1575,30,40.0,BF,0.4146770883648604
1575,30,40.0,CS,0.49305500596026575
