id,coverage,k-length,metric,score
254,10,10.0,BC,0.20112824899037354
254,10,10.0,BF,0.08510085880024844
254,10,10.0,CS,0.08843215297653462
254,30,10.0,BC,0.13634248674380472
254,30,10.0,BF,0.0456262491927749
254,30,10.0,CS,0.04751794201257731
254,10,20.0,BC,0.2840705917328241
254,10,20.0,BF,0.1674660945646882
254,10,20.0,CS,0.17748903690237805
254,30,20.0,BC,0.21127508297602698
254,30,20.0,BF,0.10520880128626849
254,30,20.0,CS,0.11197509344586182
254,10,30.0,BC,0.33358003778221196
254,10,30.0,BF,0.20921189917452973
254,10,30.0,CS,0.22192236909410978
254,30,30.0,BC,0.2607301231539986
254,30,30.0,BF,0.1416410644833947
254,30,30.0,CS,0.15112243099517952
254,10,40.0,BC,0.3800584432805998
254,10,40.0,BF,0.2503488771193394
254,10,40.0,CS,0.26571885137588797
254,30,40.0,BC,0.3069312696548978
254,30,40.0,BF,0.17707882721628906
254,30,40.0,CS,0.18905670248478465
