id,coverage,k-length,metric,score
184,10,10.0,BC,0.23667304692497515
184,10,10.0,BF,0.13253846479317472
184,10,10.0,CS,0.14800825509600957
184,30,10.0,BC,0.18888704117699454
184,30,10.0,BF,0.0894806026557111
184,30,10.0,CS,0.10082192049092518
184,10,20.0,BC,0.3498809060776325
184,10,20.0,BF,0.2952900537642156
184,10,20.0,CS,0.3443659269467067
184,30,20.0,BC,0.31151503680576836
184,30,20.0,BF,0.2122209211760286
184,30,20.0,CS,0.2526787661599322
184,10,30.0,BC,0.41209369864177475
184,10,30.0,BF,0.39203303556358077
184,10,30.0,CS,0.45308349584060187
184,30,30.0,BC,0.3934542876346322
184,30,30.0,BF,0.28604566804883064
184,30,30.0,CS,0.34020277448332137
184,10,40.0,BC,0.45466777384197987
184,10,40.0,BF,0.48600241242253817
184,10,40.0,CS,0.5550704162776268
184,30,40.0,BC,0.4630980774220585
184,30,40.0,BF,0.348667372284399
184,30,40.0,CS,0.41454465155974496
184,10,10.0,BF_Small,0.006117421837960414
184,30,10.0,BF_Small,0.00381548311941534
184,10,20.0,BF_Small,0.010137466232287692
184,30,20.0,BF_Small,0.006537166639580428
184,10,30.0,BF_Small,0.014093858155932022
184,30,30.0,BF_Small,0.008706834891178471
184,10,40.0,BF_Small,0.01867372392219341
184,30,40.0,BF_Small,0.010510788644956734
