id,coverage,k-length,metric,score
1763,10,10.0,BC,0.4833159299542003
1763,10,10.0,BF,0.3675067940519522
1763,10,10.0,CS,0.41721283718341184
1763,30,10.0,BC,0.4541403046381042
1763,30,10.0,BF,0.3278430521075277
1763,30,10.0,CS,0.37586273836468936
1763,10,20.0,BC,0.7223841306312229
1763,10,20.0,BF,0.6189265737148425
1763,10,20.0,CS,0.7219333546920559
1763,30,20.0,BC,0.7065368157411784
1763,30,20.0,BF,0.5730871609406025
1763,30,20.0,CS,0.6826475726154493
1763,10,30.0,BC,0.8014594509047421
1763,10,30.0,BF,0.7063566904353304
1763,10,30.0,CS,0.8166257036576354
1763,30,30.0,BC,0.795609868586912
1763,30,30.0,BF,0.6542275806484368
1763,30,30.0,CS,0.7786025059431555
1763,10,40.0,BC,0.8457895887905971
1763,10,40.0,BF,0.7666638975474782
1763,10,40.0,CS,0.8756337607196929
1763,30,40.0,BC,0.8486451205922532
1763,30,40.0,BF,0.7025344722130594
1763,30,40.0,CS,0.835713561984665
