id,coverage,k-length,metric,score
1616,10,10.0,BC,0.2231399156202148
1616,10,10.0,BF,0.12002672204570596
1616,10,10.0,CS,0.13301056554662666
1616,30,10.0,BC,0.1715890345906827
1616,30,10.0,BF,0.07367533442103533
1616,30,10.0,CS,0.08236570501180575
1616,10,20.0,BC,0.3240246831381632
1616,10,20.0,BF,0.27223059449226833
1616,10,20.0,CS,0.3161762432976768
1616,30,20.0,BC,0.2807605865772092
1616,30,20.0,BF,0.18255679285249268
1616,30,20.0,CS,0.21651537239645433
1616,10,30.0,BC,0.37922434008025857
1616,10,30.0,BF,0.3679565917849338
1616,10,30.0,CS,0.42411884847477777
1616,30,30.0,BC,0.355823057764068
1616,30,30.0,BF,0.2513521272392753
1616,30,30.0,CS,0.29839766766858894
1616,10,40.0,BC,0.41586082276723113
1616,10,40.0,BF,0.4627149795112084
1616,10,40.0,CS,0.5278981173309101
1616,30,40.0,BC,0.4214025635511397
1616,30,40.0,BF,0.3102763045571242
1616,30,40.0,CS,0.36910309849470474
