id,coverage,k-length,metric,score
155,10,10.0,BC,0.3366772591265106
155,10,10.0,BF,0.21766035793246338
155,10,10.0,CS,0.24342081555244996
155,30,10.0,BC,0.2977921293373331
155,30,10.0,BF,0.17720497162595755
155,30,10.0,CS,0.2001172299612783
155,10,20.0,BC,0.5319047850499266
155,10,20.0,BF,0.4558199391913934
155,10,20.0,CS,0.5312329050264419
155,30,20.0,BC,0.5036774401179471
155,30,20.0,BF,0.3877119264398448
155,30,20.0,CS,0.4616446674758824
155,10,30.0,BC,0.6165583865587183
155,10,30.0,BF,0.5588756221989694
155,10,30.0,CS,0.6458468571401099
155,30,30.0,BC,0.6034417961641556
155,30,30.0,BF,0.47810639331612786
155,30,30.0,CS,0.5689276423040172
155,10,40.0,BC,0.666797143870209
155,10,40.0,BF,0.6397115913171265
155,10,40.0,CS,0.7303560856416291
155,30,40.0,BC,0.6707335143781636
155,30,40.0,BF,0.5392554718866767
155,30,40.0,CS,0.6411273859841938
155,10,10.0,BF_Small,0.009746293928487875
155,30,10.0,BF_Small,0.007371746697499922
155,10,20.0,BF_Small,0.01555142435348404
155,30,20.0,BF_Small,0.01176378982370099
155,10,30.0,BF_Small,0.02026221779422333
155,30,30.0,BF_Small,0.014780723989117037
155,10,40.0,BF_Small,0.024906878990836753
155,30,40.0,BF_Small,0.016535554313856303
