id,coverage,k-length,metric,score
48,10,10.0,BC,0.150644292123328
48,10,10.0,BF,0.06473587670125074
48,10,10.0,CS,0.07316729194692681
48,30,10.0,BC,0.16195789194191823
48,30,10.0,BF,0.06884205264124334
48,30,10.0,CS,0.07770629296513007
48,10,20.0,BC,0.2454593185481732
48,10,20.0,BF,0.157810999586572
48,10,20.0,CS,0.18810459455304604
48,30,20.0,BC,0.25792532247849925
48,30,20.0,BF,0.16413045718620842
48,30,20.0,CS,0.19533970262411293
48,10,30.0,BC,0.3134558198180264
48,10,30.0,BF,0.21791697877205324
48,10,30.0,CS,0.25979174224817875
48,30,30.0,BC,0.3254766069001687
48,30,30.0,BF,0.22459600410206954
48,30,30.0,CS,0.267177684816328
48,10,40.0,BC,0.37534237912769947
48,10,40.0,BF,0.2725113621892887
48,10,40.0,CS,0.3246947890417632
48,30,40.0,BC,0.387120121393376
48,30,40.0,BF,0.2797032916400971
48,30,40.0,CS,0.3326044944878848
48,10,10.0,BF_Small,0.002738654769294562
48,30,10.0,BF_Small,0.0029619876786318353
48,10,20.0,BF_Small,0.004753181500101456
48,30,20.0,BF_Small,0.00498391570135375
48,10,30.0,BF_Small,0.0065945061999608656
48,30,30.0,BF_Small,0.006873116911564018
48,10,40.0,BF_Small,0.008240727717078095
48,30,40.0,BF_Small,0.008553380512675046
