id,coverage,k-length,metric,score
206,10,10.0,BC,0.3712045605997407
206,10,10.0,BF,0.2559426183092529
206,10,10.0,CS,0.2884668526198114
206,30,10.0,BC,0.3354972222561937
206,30,10.0,BF,0.21558455891563047
206,30,10.0,CS,0.24520277595326448
206,10,20.0,BC,0.5733118432348273
206,10,20.0,BF,0.4899248855329
206,10,20.0,CS,0.5720155939077363
206,30,20.0,BC,0.5493413471626247
206,30,20.0,BF,0.42962839954577314
206,30,20.0,CS,0.512143465393455
206,10,30.0,BC,0.6508799976493183
206,10,30.0,BF,0.5850305249118295
206,10,30.0,CS,0.6771542667137777
206,30,30.0,BC,0.640567443819599
206,30,30.0,BF,0.512049039754477
206,30,30.0,CS,0.6100390178877695
206,10,40.0,BC,0.694365177994437
206,10,40.0,BF,0.6585021648623541
206,10,40.0,CS,0.7522976861458558
206,30,40.0,BC,0.6993210433020307
206,30,40.0,BF,0.565624425982376
206,30,40.0,CS,0.6728078982241202
206,10,10.0,BF_Small,0.011176690603606737
206,30,10.0,BF_Small,0.008831067125578212
206,10,20.0,BF_Small,0.016664647798934625
206,30,20.0,BF_Small,0.013129987757856272
206,10,30.0,BF_Small,0.02105833926457024
206,30,30.0,BF_Small,0.015777673968781054
206,10,40.0,BF_Small,0.02579208869922417
206,30,40.0,BF_Small,0.01737227294648654
