id,coverage,k-length,metric,score
87,10,10.0,BC,0.17352548038156537
87,10,10.0,BF,0.06144435502304284
87,10,10.0,CS,0.06368961958505868
87,30,10.0,BC,0.10726906780501795
87,30,10.0,BF,0.023465908497724012
87,30,10.0,CS,0.02439323740281873
87,10,20.0,BC,0.22871141510065987
87,10,20.0,BF,0.10748774293792267
87,10,20.0,CS,0.1137734262233827
87,30,20.0,BC,0.15264366576781782
87,30,20.0,BF,0.042876225929206646
87,30,20.0,CS,0.04557250996721304
87,10,30.0,BC,0.255917558105162
87,10,30.0,BF,0.12355067238517259
87,10,30.0,CS,0.13087403262834674
87,30,30.0,BC,0.17685398807104408
87,30,30.0,BF,0.05089483794296235
87,30,30.0,CS,0.05419397141874397
87,10,40.0,BC,0.2831329113109216
87,10,40.0,BF,0.14140900317673336
87,10,40.0,CS,0.15023333338693173
87,30,40.0,BC,0.20066670014007335
87,30,40.0,BF,0.05971869393910503
87,30,40.0,CS,0.06382923527477805
