id,coverage,k-length,metric,score
170,10,10.0,BC,0.2828276936778084
170,10,10.0,BF,0.15730429963769885
170,10,10.0,CS,0.16358287968686355
170,30,10.0,BC,0.2274462917655035
170,30,10.0,BF,0.12009880552899074
170,30,10.0,CS,0.12516677527393963
170,10,20.0,BC,0.4430063299752119
170,10,20.0,BF,0.3396734355907377
170,10,20.0,CS,0.3599130421801626
170,30,20.0,BC,0.38533363829989176
170,30,20.0,BF,0.28813605753053845
170,30,20.0,CS,0.30673824869804733
170,10,30.0,BC,0.5325457901470643
170,10,30.0,BF,0.4284189428666712
170,10,30.0,CS,0.45453327783462993
170,30,30.0,BC,0.4802478533883901
170,30,30.0,BF,0.37728542799379666
170,30,30.0,CS,0.402364662417266
170,10,40.0,BC,0.6022649909364314
170,10,40.0,BF,0.4984562647878082
170,10,40.0,CS,0.5292895956951931
170,30,40.0,BC,0.5540843993325916
170,30,40.0,BF,0.4469450835011748
170,30,40.0,CS,0.4775002670343479
