id,coverage,k-length,metric,score
97,10,10.0,BC,0.1746261625574254
97,10,10.0,BF,0.0622005205794694
97,10,10.0,CS,0.06446548319253532
97,30,10.0,BC,0.10739612619070274
97,30,10.0,BF,0.023767212903007116
97,30,10.0,CS,0.02470298038982373
97,10,20.0,BC,0.23055668086122003
97,10,20.0,BF,0.10925180322121288
97,10,20.0,CS,0.11561527500026886
97,30,20.0,BC,0.15295737307249968
97,30,20.0,BF,0.04349298317268765
97,30,20.0,CS,0.0462454181637512
97,10,30.0,BC,0.2581383600302997
97,10,30.0,BF,0.12578869736722723
97,10,30.0,CS,0.13324738359033256
97,30,30.0,BC,0.17752240335821354
97,30,30.0,BF,0.05186287226781827
97,30,30.0,CS,0.055222238005705374
97,10,40.0,BC,0.2859557172578585
97,10,40.0,BF,0.14432965731851924
97,10,40.0,CS,0.1533315754123375
97,30,40.0,BC,0.20156462427388458
97,30,40.0,BF,0.0610414372142125
97,30,40.0,CS,0.06524407045355658
