id,coverage,k-length,metric,score
154,10,10.0,BC,0.2280389018734272
154,10,10.0,BF,0.12585923272456528
154,10,10.0,CS,0.14062977756482878
154,30,10.0,BC,0.1789206561297807
154,30,10.0,BF,0.08155717288345779
154,30,10.0,CS,0.09199512276755843
154,10,20.0,BC,0.3335258937480967
154,10,20.0,BF,0.28293221491733844
154,10,20.0,CS,0.32979249521067955
154,30,20.0,BC,0.2934110540440595
154,30,20.0,BF,0.19654113809530438
154,30,20.0,CS,0.2338870595281785
154,10,30.0,BC,0.39204275757905255
154,10,30.0,BF,0.3775994101070189
154,10,30.0,CS,0.43656031705288173
154,30,30.0,BC,0.371690304907709
154,30,30.0,BF,0.266906680710416
154,30,30.0,CS,0.31758683959885964
154,10,40.0,BC,0.432326048759248
154,10,40.0,BF,0.47357307929616776
154,10,40.0,CS,0.5407691007151594
154,30,40.0,BC,0.44019646683791325
154,30,40.0,BF,0.3285287051647839
154,30,40.0,CS,0.390595669598231
154,10,10.0,BF_Small,0.005836819743870978
154,30,10.0,BF_Small,0.003493332115159241
154,10,20.0,BF_Small,0.009657932421055549
154,30,20.0,BF_Small,0.005987473412739855
154,10,30.0,BF_Small,0.013486604629374694
154,30,30.0,BF_Small,0.008111789674294812
154,10,40.0,BF_Small,0.018454026804723894
154,30,40.0,BF_Small,0.010160045530454449
