id,coverage,k-length,metric,score
113,10,10.0,BC,0.18680116654160628
113,10,10.0,BF,0.07244957784657145
113,10,10.0,CS,0.07514730354961081
113,30,10.0,BC,0.11877971910717536
113,30,10.0,BF,0.032100970205546094
113,30,10.0,CS,0.0333826190716671
113,10,20.0,BC,0.2541427212089239
113,10,20.0,BF,0.13500671164827766
113,10,20.0,CS,0.1429304287265386
113,30,20.0,BC,0.17653672264931494
113,30,20.0,BF,0.06814771230612128
113,30,20.0,CS,0.07247076917976543
113,10,30.0,BC,0.2908474554742637
113,10,30.0,BF,0.16230609585612862
113,10,30.0,CS,0.1720018324189002
113,30,30.0,BC,0.21175495987756957
113,30,30.0,BF,0.08844887345622461
113,30,30.0,CS,0.09423267637794931
113,10,40.0,BC,0.32677560329378325
113,10,40.0,BF,0.1906490735603368
113,10,40.0,CS,0.20249607921164225
113,30,40.0,BC,0.2456603122983013
113,30,40.0,BF,0.1089749270175569
113,30,40.0,CS,0.11646928344596519
