id,coverage,k-length,metric,score
1805,10,10.0,BC,0.4543895525827699
1805,10,10.0,BF,0.3410091921141467
1805,10,10.0,CS,0.38717149567843495
1805,30,10.0,BC,0.42430567612310416
1805,30,10.0,BF,0.30123614993234404
1805,30,10.0,CS,0.3453272472448335
1805,10,20.0,BC,0.6825665209812545
1805,10,20.0,BF,0.5845090027329306
1805,10,20.0,CS,0.6820908985285191
1805,30,20.0,BC,0.6656910607837991
1805,30,20.0,BF,0.536069451443628
1805,30,20.0,CS,0.6387697800912868
1805,10,30.0,BC,0.7671121861829592
1805,10,30.0,BF,0.6781544192264252
1805,10,30.0,CS,0.7844810054727126
1805,30,30.0,BC,0.76088138404293
1805,30,30.0,BF,0.6225808327140555
1805,30,30.0,CS,0.7411407494471846
1805,10,40.0,BC,0.8189923358115545
1805,10,40.0,BF,0.746473103692311
1805,10,40.0,CS,0.8527154576109025
1805,30,40.0,BC,0.8224146466091905
1805,30,40.0,BF,0.6789544327279953
1805,30,40.0,CS,0.8073122611365139
