id,coverage,k-length,metric,score
126,10,10.0,BC,0.33350109952667295
126,10,10.0,BF,0.20936685759961826
126,10,10.0,CS,0.218042145388209
126,30,10.0,BC,0.28307212163914086
126,30,10.0,BF,0.1734280329293358
126,30,10.0,CS,0.18101250299145674
126,10,20.0,BC,0.5250840315462431
126,10,20.0,BF,0.4288281099059254
126,10,20.0,CS,0.45444424602014033
126,30,20.0,BC,0.4773933594055316
126,30,20.0,BF,0.38693415704985484
126,30,20.0,CS,0.4118873023851213
126,10,30.0,BC,0.6228131755071499
126,10,30.0,BF,0.5274566777756902
126,10,30.0,CS,0.5596178719622157
126,30,30.0,BC,0.5822424181539372
126,30,30.0,BF,0.48831675074464287
126,30,30.0,CS,0.5207381357745845
126,10,40.0,BC,0.6929726123161537
126,10,40.0,BF,0.5989326633918775
126,10,40.0,CS,0.6362303801020358
126,30,40.0,BC,0.6574161405333773
126,30,40.0,BF,0.5609882795966387
126,30,40.0,CS,0.5995781167902808
