id,coverage,k-length,metric,score
191,10,10.0,BC,0.3008144797860202
191,10,10.0,BF,0.1968337394899023
191,10,10.0,CS,0.2217304079637825
191,30,10.0,BC,0.25811741507356895
191,30,10.0,BF,0.1526358492740123
191,30,10.0,CS,0.1734982824530421
191,10,20.0,BC,0.4395680187414624
191,10,20.0,BF,0.3756105884749347
191,10,20.0,CS,0.4379959370357516
191,30,20.0,BC,0.40733936678733784
191,30,20.0,BF,0.30075507827543985
191,30,20.0,CS,0.3579467943471236
191,10,30.0,BC,0.4929363380316047
191,10,30.0,BF,0.45844268297260976
191,10,30.0,CS,0.5302662122701651
191,30,30.0,BC,0.47709485755720116
191,30,30.0,BF,0.3630545969026787
191,30,30.0,CS,0.43219971029105747
191,10,40.0,BC,0.5238073995455567
191,10,40.0,BF,0.5369951542963224
191,10,40.0,CS,0.6135930409370691
191,30,40.0,BC,0.5311970464073286
191,30,40.0,BF,0.41178381649822804
191,30,40.0,CS,0.489573416101223
191,10,10.0,BF_Small,0.008515014004571978
191,30,10.0,BF_Small,0.0061635715343135306
191,10,20.0,BF_Small,0.01282676983548411
191,30,20.0,BF_Small,0.009173313753003098
191,10,30.0,BF_Small,0.016286120367415582
191,30,30.0,BF_Small,0.011006831529066074
191,10,40.0,BF_Small,0.02077261635167624
191,30,40.0,BF_Small,0.012497029233814924
